[bms-server]2024/04/12 - 10:23:02.514	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/core/server.go:39	accept tcp [::]:8888: use of closed network connection
[bms-server]2024/04/12 - 10:23:27.619	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/integral/sys_integral.go:142	获取失败!	{"error": "Members: unsupported relations for schema SysIntegral"}
[bms-server]2024/04/12 - 10:27:54.072	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/integral/sys_integral.go:142	获取失败!	{"error": "SysMembers: unsupported relations for schema SysIntegral"}
[bms-server]2024/04/12 - 10:35:04.473	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/integral/sys_integral.go:142	获取失败!	{"error": "Error 1054 (42S22): Unknown column 'nickname' in 'field list'"}
[bms-server]2024/04/12 - 10:36:18.416	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/integral/sys_integral.go:142	获取失败!	{"error": "Error 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'username,nick_name AND `sys_members`.`deleted_at` IS NULL' at line 1"}
[bms-server]2024/04/12 - 10:39:52.745	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/integral/sys_integral.go:142	获取失败!	{"error": "Error 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'username,nick_name AND `sys_members`.`deleted_at` IS NULL' at line 1"}
[bms-server]2024/04/12 - 10:41:59.136	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/integral/sys_integral.go:142	获取失败!	{"error": "Error 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'FROM `sys_members` WHERE `sys_members`.`id` = ? AND `sys_members`.`deleted_at` I' at line 1"}
[bms-server]2024/04/12 - 10:44:30.694	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/integral/sys_integral.go:142	获取失败!	{"error": "Error 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'FROM `sys_members` WHERE `sys_members`.`id` = ? AND `sys_members`.`deleted_at` I' at line 1"}
[bms-server]2024/04/12 - 11:40:28.832	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/system/sys_menu.go:29	获取失败!	{"error": "Error 1053 (08S01): Server shutdown in progress"}
[bms-server]2024/04/12 - 11:40:28.903	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/system/sys_user.go:437	获取失败!	{"error": "Error 1053 (08S01): Server shutdown in progress"}
[bms-server]2024/04/12 - 11:40:30.021	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/system/sys_menu.go:29	获取失败!	{"error": "dial tcp 127.0.0.1:3306: connect: connection refused"}
[bms-server]2024/04/12 - 11:40:30.321	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/system/sys_user.go:437	获取失败!	{"error": "dial tcp 127.0.0.1:3306: connect: connection refused"}
[bms-server]2024/04/12 - 11:40:42.220	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/system/sys_menu.go:29	获取失败!	{"error": "dial tcp 127.0.0.1:3306: connect: connection refused"}
[bms-server]2024/04/12 - 11:40:42.419	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/system/sys_user.go:437	获取失败!	{"error": "dial tcp 127.0.0.1:3306: connect: connection refused"}
[bms-server]2024/04/12 - 11:40:42.464	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/system/sys_menu.go:29	获取失败!	{"error": "dial tcp 127.0.0.1:3306: connect: connection refused"}
[bms-server]2024/04/12 - 11:40:42.648	[31merror[0m	/Users/lishoujie/GolandProjects/bms/server/api/v1/system/sys_user.go:437	获取失败!	{"error": "dial tcp 127.0.0.1:3306: connect: connection refused"}
